idcc_actuel,nom_officiel_ancien,idcc_a_utiliser,nom_officiel_nouveau,contenu_1er_niveau
800,Convention collective nationale des hôtels,1979,"Convention collective nationale des hôtels, cafés, restaurants (HCR)","Niveau I-1 — Employé(e) polyvalent(e) débutant(e) — réception, ménage"
802,"Convention collective nationale de la distribution de papiers-cartons commerces de gros pour les ouvriers, employés, techniciens et agents de maitrise",3224,Convention collective nationale de la distribution et du commerce de gros des papiers-cartons,Employé(e) débutant(e)
803,Convention collective des agents de maîtrise des commerces de gros demi-gros et détail de la quincaillerie et commerces rattachés de la région de limoges limousin Poitou-Charentes,1673,"Convention collective des commerces de la quincaillerie, des fers, métaux, et commerces rattaches de la région de Limoges",Ouvrier(ère) béton débutant(e)
832,Convention collective nationale du personnel ouvrier de l'industrie de la fabrication des ciments,3233,Convention collective nationale de la branche de l'industrie de la fabrication des ciments,Ouvrier(ère) cimenterie débutant(e)
833,"Convention collective nationale du personnel employés, techniciens, dessinateurs et agents de maitrise de l'industrie de la fabrication des ciments",3233,Convention collective nationale de la branche de l'industrie de la fabrication des ciments,Employé(e) administratif(ve) / technique débutant(e)
889,Convention collective nationale des employés et techniciens des services généraux et administratifs de l'exploitation des théâtres cinématographiques,1307,Convention collective nationale de l'exploitation cinématographique,"Employé(e) — accueil, contrôle"
925,"Convention collective nationale des ingénieurs et cadres de la distribution des papiers et cartons, commerce de gros",3224,Convention collective nationale de la distribution et du commerce de gros des papiers-cartons,Cadre débutant(e) — commercial(e)
951,Convention collective nationale des théâtres privés,3090,Convention collective nationale des entreprises du secteur privé du spectacle vivant,Technicien(ne) plateau débutant(e)
992,"Convention collective nationale de la boucherie, boucherie-charcuterie et boucherie hippophagique, triperie, commerce de volailles et gibiers",3254,"Convention collective nationale de la boucherie, boucherie-charcuterie-traiteur, poissonnerie (détail et gros), écailler, traiteur de la mer",Aide-boucher(ère) débutant(e) — apprenti(e)
1000,Convention collective nationale du personnel des cabinets d'avocats,3253,Convention collective nationale des salariés des cabinets d'avocats,Coef 207 — Secrétaire-standardiste / Employé(e) débutant(e) — niveau 4
1044,Convention collective nationale de l'horlogerie,3251,"Convention collective nationale de la bijouterie, joaillerie, orfèvrerie, horlogerie (BJOH)",Opérateur(rice) production débutant(e)
1177,Convention collective nationale du personnel ouvrier de l'industrie de la fabrication de la chaux,3151,Convention collective nationale des industries de la fabrication de la chaux,Niveau I — Vendeur(euse) débutant(e)
1237,Convention collective nationale des centres de gestion agréés,787,Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes,Employé(e) débutant(e) — secrétariat
1240,Convention collective des commerces de détail non alimentaires de Bourg-en-Bresse,1517,"Convention collective nationale des commerces de détail non alimentaires : antiquités, brocante, galeries d'art (œuvres d'art), arts de la table, coutellerie, droguerie, équipement du foyer, bazars, commerces ménagers, modélisme, jeux, jouets, puérinatalité, maroquinerie, instruments de musique, partitions et accessoires, presse et jeux de hasard ou pronostics, commerces spécialisés en produits de la vape",Ouvrier(ère) distillerie débutant(e)
1278,Convention collective nationale des personnels PACT et ARIM,2336,Convention collective nationale de l'habitat et du logement accompagné,Employé(e) accueil / administratif(ve)
1314,"Convention collective nationale des maisons d'alimentation à succursales, supermarchés, hypermarchés, gérants mandataires",??,(pas de NouvIDCC renseigné par DARES),"Employé(e) débutant(e) — caisse, libre-service"
1370,Convention collective régionale du personnel des hôtels de tourisme trois et quatre étoiles luxe de Paris et départements environnants,1979,"Convention collective nationale des hôtels, cafés, restaurants (HCR)",Ouvrier(ère) chauffagiste débutant(e)
1383,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, employés et personnels de maîtrise",3243,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison",Vendeur(se) chaussures succursaliste débutant(e) I
1540,Convention collective départementale des commerces de détail non alimentaires de Toulouse et des communes limitrophes,1517,"Convention collective nationale des commerces de détail non alimentaires : antiquités, brocante, galeries d'art (œuvres d'art), arts de la table, coutellerie, droguerie, équipement du foyer, bazars, commerces ménagers, modélisme, jeux, jouets, puérinatalité, maroquinerie, instruments de musique, partitions et accessoires, presse et jeux de hasard ou pronostics, commerces spécialisés en produits de la vape",Ouvrier(ère) céramiste débutant(e) O1
1561,Convention collective nationale de la cordonnerie multiservice,2528,"Convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir","Ouvrier(ère) débutant(e) — assemblage, ponçage"
1563,Convention collective des cadres de la presse hebdomadaire régionale d'information,3242,Convention collective nationale de la presse quotidienne et hebdomadaire en régions,Ouvrier(ère) débutant(e) — extrusion aluminium
1564,Convention collective des industries de la métallurgie de Saône-et-Loire,3248,Convention collective nationale de la métallurgie,"Ouvrier(ère) débutant(e) — cuivre, bronze"
1588,Convention collective nationale du personnel des sociétés coopératives d'HLM,3220,Convention collective nationale du personnel des offices publics de l'habitat et des sociétés de coordination,Ouvrier(ère) caoutchouc débutant(e) coef 115
1592,Convention collective de la métallurgie du Valenciennois et du Cambrésis,3248,Convention collective nationale de la métallurgie,Ouvrier(ère) / Employé(e) pharma débutant(e) coef 130
1598,"Convention collective nationale des cabinets ou entreprises de géomètres experts, topographes, photogrammètres, experts fonciers",2543,"Convention collective nationale des cabinets ou entreprises de géomètres experts, géomètres topographes photogrammètres, experts-fonciers",Ouvrier(ère) cimenterie débutant(e)
1604,Convention collective des industries métallurgiques des arrondissements de Rouen et de Dieppe,3248,Convention collective nationale de la métallurgie,Ouvrier(ère) travaux publics d'exécution OE1 (coef 158)
1624,"Convention collective nationale des commerces de gros de Confiserie, chocolaterie, biscuiterie et alimentation fine et des négociants distributeurs de levure",573,Convention collective nationale des commerces de gros,Opticien(ne) collaborateur(rice) débutant(e) A1 (BTS optique)
1673,"Convention collective des commerces de la quincaillerie, des fers, métaux, et commerces rattaches de la région de Limoges",1383,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, employés et personnels de maîtrise",Secrétaire / Personnel accueil débutant(e)
1678,Convention collective nationale des organismes de tourisme à caractère non lucratif,1909,Convention collective nationale des organismes de tourisme,ETAM position 1.1 — Employé(e) / Technicien(ne) débutant(e)
1689,"Convention collective nationale des fabriques d'articles de papeterie et de bureau : ouvriers, employés, agents de maitrise et cadres",489,Convention collective du personnel des industries du cartonnage,Assistant(e) salons/foires débutant(e)
1692,Convention collective nationale de l'édition,1772,Convention collective nationale de l'édition,Agent(e) blanchisserie débutant(e) I-1
1730,Manutention portuaire Marseille Fos OAM,1763,Convention collective nationale de la manutention portuaire,Ouvrier(ère) imprimeur(se) débutant(e) coef 100
1734,Convention collective des artistes-interprètes engages pour des émissions de télévision,2642,Convention collective nationale de la production audiovisuelle,Employé(e) prestataires tertiaire coef 100
1740,Convention collective régionale des ouvriers du bâtiment de la Région Parisienne,1597,Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-,Matelot(te) pêcheur(se) débutant(e) I
1747,Convention collective des activités industrielles de boulangerie et de pâtisserie,3255,Convention collective nationale des activités industrielles de boulangerie et pâtisserie et des professionnels de l'œuf,Niveau 1 Éch.1 — Opérateur(rice) conditionnement débutant(e)
1750,Convention collective des employés des services auxiliaires de la manutention des ports de Marseille,3017,Convention collective nationale unifiée ports et manutention,ETAM position 1.1 — Employé(e) / Technicien(ne) débutant(e)
1751,Convention collective des cadres des services auxiliaires de la manutention des ports de Marseille,3017,Convention collective nationale unifiée ports et manutention,ETAM position 1.1 — Employé(e) / Technicien(ne) débutant(e)
1758,Convention collective du bâtiment du département du Tarn concernant les ouvriers employés par les entreprises occupant jusqu'a 10 salariés,1596,Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 -c'est-à-dire occupant jusqu'à 10 salariés-,Agent(e) de service éducatif débutant(e)
1759,Convention collective du bâtiment du département du Tarn concernant les ouvriers employés par les entreprises occupant plus de 10 salariés,1597,Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-,Agent(e) d'accompagnement débutant(e)
1761,"Convention collective du commerce de gros des tissus, tapis et linge de maison",573,Convention collective nationale des commerces de gros,Veilleur(se) de nuit CHRS débutant(e)
1763,Convention collective nationale de la manutention portuaire,3017,Convention collective nationale unifiée ports et manutention,Salarié(e) chantier insertion débutant(e) I
1765,Convention collective nationale de la fabrication du verre à la main,1821,"Convention collective nationale des professions regroupées du cristal, du verre et du vitrail",Moniteur(rice) d'atelier ESAT débutant(e)
1771,Convention collective de travail des industries de la transformation des métaux de la région de Maubeuge (Nord),1813,Convention collective de travail des industries de la transformation des métaux de la région de Maubeuge,Moniteur(rice) enseignement agricole privé débutant(e) I
1775,"Convention collective nationale de travail des établissements et services prives sanitaires, sociaux et medico-sociaux",2264,Convention collective nationale de l'hospitalisation privée,Agent(e) de service scolaire OGEC I
1779,Convention collective du bâtiment de la région Provence-Alpes-Côte d'azur concernant les ouvriers employés par les entreprises occupant jusqu'a 10 salariés,1596,Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 -c'est-à-dire occupant jusqu'à 10 salariés-,Employé(e) administratif(ve) fédération A
1780,Convention collective du bâtiment de la région Provence-Alpes-Côte d'azur concernant les ouvriers employés par les entreprises occupant plus de 10 salariés,1597,Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-,Technicien(ne) audiovisuel(le) débutant(e) niveau I
1850,Convention collective de l'avocat salarié,1000,Convention collective nationale du personnel des cabinets d'avocats,Employé(e) comptable débutant(e) coef 100
1870,Convention collective nationale du golf,2021,Convention collective nationale du golf,Vendeur(se) textile détail débutant(e) I
1921,Convention collective nationale des huissiers de justice,3250,Convention collective nationale des commissaires de justice et sociétés de ventes,Agent(e) de service N1 — 347 pts
1966,Convention collective des industries métallurgiques du Loiret,3248,Convention collective nationale de la métallurgie,Employé(e) promoteur immobilier débutant(e) I-1
1985,Convention collective nationale des cafétérias et assimilés,2060,Convention collective nationale des chaînes de cafétérias et assimilés,Livreur(se) combustibles débutant(e)
2070,Convention collective relative au statut des personnels des organismes de développement économique,5025,(introuvable pour le nouveau numéro non plus),Ouvrière petite main / Apprenante haute couture I
2075,"Convention collective nationale des centres immatricules de conditionnement, de commercialisation et de transformation des œufs et des industries en produits d'œufs",1747,Convention collective des activités industrielles de boulangerie et de pâtisserie,Caviste débutant(e)
2104,Convention collective nationale du thermalisme,2264,Convention collective nationale de l'hospitalisation privée,Préparateur(rice) en pharmacie débutant(e) I-1
2230,Convention collective nationale des associations agréées de surveillance de la qualité de l'air,1486,"Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils",Agent(e) technique débutant(e) niveau I
2344,Convention collective de la sidérurgie,3248,Convention collective nationale de la métallurgie,Porteur(euse) / Chauffeur(euse) débutant(e)
2395,Convention collective nationale de travail des assistants maternels du particulier employeur,3239,Convention collective de la branche du secteur des particuliers employeurs et de l'emploi à domicile,Agent(e) à domicile A — services courants
2408,"Convention collective de travail des personnels des services administratifs et économiques, des personnels d'éducation et des documentalistes des établissements d'enseignement prives",3211,Convention collective des salariés des établissements privés,Agent(e) à domicile — aide aux personnes
2409,Convention collective nationale des cadres des travaux publics,3212,Convention collective nationale des cadres des travaux publics,Employé(e) administratif(ve)
2564,Convention collective nationale des vétérinaires praticiens salariés,1875,Convention collective nationale des cabinets et cliniques vétérinaires : personnel salarié,Employé(e) commercial(e) bricolage débutant(e) I
2582,Convention collective des ouvriers des travaux public de la Savoie,1702,Convention collective nationale des ouvriers de travaux publics,Employé(e) administratif(ve)
2615,Convention collective de la métallurgie des Pyrénées-Atlantiques et du Seignanx,3248,Convention collective nationale de la métallurgie,Employé(e) administratif(ve) courtage niveau I
2770,Convention collective nationale de l'édition phonographique,2121,Convention collective nationale de l'édition,ETAM position 1.1 — Employé(e) / Technicien(ne) débutant(e)
3160,Convention collective nationale des associations de gestion et de comptabilité  (annexée à la convention collective nationale du personnel des cabinets d'experts-comptables et de commissaires aux comptes 0787),787,Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes,Employé(e) de gestion débutant(e)
3227,Convention collective nationale des industries de la fabrication de la chaux,3249,Convention collective nationale des industries de carrières et matériaux de construction,Salarié(e) agricole FNSEA palier 1A débutant
7016,Convention collective nationale de travail concernant les jardiniers et jardiniers-gardiens de propriétés privées,99999,(introuvable pour le nouveau numéro non plus),Ouvrier(ère) / Employé(e) débutant(e)
7504,Centres d'insémination artificielle animale,7021,Convention collective nationale des entreprises relevant de la sélection et de la reproduction animale,Ouvrier(ère) champignonniste débutant(e) SA palier 1
7505,Convention collective nationale du personnel de formation de l'enseignement prive agricole,7520,Convention collective nationale des salariés des établissements d'enseignement et organismes de formation aux métiers du territoire (EOFMT),Palefrenier(ère) / Moniteur(rice) débutant(e)
7506,Convention collective nationale du personnel de la vie scolaire de l'enseignement prive agricole,7520,Convention collective nationale des salariés des établissements d'enseignement et organismes de formation aux métiers du territoire (EOFMT),Ouvrier(ère) avicole débutant(e) SA palier 1
7507,Convention collective nationale du personnel administratif technique de l'enseignement prive agricole,7520,Convention collective nationale des salariés des établissements d'enseignement et organismes de formation aux métiers du territoire (EOFMT),Ouvrier(ère) forestier(ère) débutant(e)
7509,Convention collective nationale des organismes de formation et de promotion agricoles,7520,Convention collective nationale des salariés des établissements d'enseignement et organismes de formation aux métiers du territoire (EOFMT),Ouvrier(ère) agricole débutant(e)
7511,Convention collective nationale du personnel du personnel des associations de salariés de l'agriculture pour la vulgarisation du progrès agricole,??,(pas de NouvIDCC renseigné par DARES),Ouvrier(ère) tabaculteur(rice) débutant(e) SA palier 1
7512,Centres d'économie rurale,7020,Convention collective nationale du réseau des centres d'économie rurale,Ouvrier(ère) arboriculteur(rice) débutant(e) SA palier 1
9031,"Exploitations polyculture maraichage entreprises de travaux agricoles et ruraux, coopératives d'utilisation de matériel agricole, Allier",9032,Convention collective départementale des exploitations agricoles Allier,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9251,Exploitations agricoles Doubs,8434,Convention collective régionale des cultures CUMA ETAR Franche Comté,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9271,Bois et forêts Eure,8231,Convention collective régionale des exploitations forestières Haute Normandie,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9381,Exploitations agricoles Isère,9383,Convention collective départementale des exploitations agricoles CUMA Isère,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9391,Exploitations agricoles Jura,8434,Convention collective régionale des cultures CUMA ETAR Franche Comté,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9541,"Exploitations agricoles coopératives d'utilisation de matériel agricole, Meurthe et Moselle",8416,Convention collective régionale de polyculture Lorraine,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9551,Exploitations forestières Meuse,8415,Convention collective régionale des exploitations forestières Lorraine,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9571,Exploitations forestières et de sylviculture - sauf ONF - Moselle,8415,Convention collective régionale des exploitations forestières Lorraine,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9611,Sylviculture Orne,9613,Convention collective départementale des exploitations pépinières horticulture Orne,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9701,"Exploitations polyculture, élevage Haute Saône",8434,Convention collective régionale des cultures CUMA ETAR Franche Comté,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9731,"Exploitations agricoles entreprises de travaux agricoles et ruraux, coopératives d'utilisation de matériel agricole, Savoie",8826,Convention collective régionale des exploitations trav agricoles CUMA Savoie Hte Savoie,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9741,"Exploitations agricoles cultures spécialisées entreprises de travaux agricoles et ruraux, Haute Savoie",8826,Convention collective régionale des exploitations trav agricoles CUMA Savoie Hte Savoie,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9771,"Exploitations polyculture élevage coopératives d'utilisation de matériel agricole, entreprises de travaux agricoles et ruraux, Seine et Marne",8117,Convention collective régionale des exploitations polyculture élev CUMA Seine et Marne ETAR Ile de France,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9861,Exploitations agricoles Vienne,8542,Convention collective régionale des ETAR Vienne Deux Sèvres production agricole Vienne,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9881,"Exploitations polyculture élevage et coopératives d'utilisation de matériel agricole, entreprises de travaux agricoles et ruraux, Vosges",8416,Convention collective régionale de polyculture Lorraine,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
9901,Exploitations forestières Belfort,8431,Convention collective régionale des exploitations forestières Doubs Jura Haute-Saône Territoire de Belfort,Palier O.1 — Ouvrier(ère) agricole débutant(e) sans qualification
